Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
0,Recliner,Jordyblue Marvin Fabric Manual Recliner,1317,3300,"['Material: Fabric', 'Reclining Positions: 3', 'Filling Material: Foam', 'W x H x D: 88.9 cm x 101.6 cm x 77.47 cm (2 ft 10 in x 3 ft 4 in x 2 ft 6 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
1,Recliner,Jordyblue Marvin Fabric Manual Recliner,1317,3300,"['Material: Fabric', 'Reclining Positions: 3', 'Filling Material: Foam', 'W x H x D: 88.9 cm x 101.6 cm x 77.47 cm (2 ft 10 in x 3 ft 4 in x 2 ft 6 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
2,Recliner,Jordyblue Jamie Fabric Manual Recliner,1218,3052,"['Material: Fabric', 'Reclining Positions: 3', 'Filling Material: Foam', 'W x H x D: 86.36 cm x 101.6 cm x 91.44 cm (2 ft 10 in x 3 ft 4 in x 3 ft)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
3,Recliner,Home Centre Fabric Manual Recliner,7136,14272,"['Material: Fabric', 'Reclining Positions: 1', 'Filling Material: Foam', 'W x H x D: 104 cm x 95 cm x 229 cm (3 ft 4 in x 3 ft 1 in x 7 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",FurnitureForYou
4,Recliner,DUROFLEX Fabric Manual Recliner,1399,2544,"['Material: Fabric', 'Reclining Positions: 3', 'Filling Material: Foam, Polyfill', 'W x H x D: 89 cm x 94 cm x 97 cm (2 ft 11 in x 3 ft 1 in x 3 ft 2 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
5,Recliner,Jordyblue Louis Fabric Manual Recliner,1130,2475,"['Material: Fabric', 'Reclining Positions: 1', 'Filling Material: Foam', 'W x H x D: 73.66 cm x 93.98 cm x 81.28 inch (2 ft 4 in x 3 ft 1 in x 6 ft 9 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
7,Recliner,Home Centre Silas Leatherette Manual Recliner,1151,1650,"['Material: Leatherette', 'Reclining Positions: 0', 'Filling Material: Foam', 'W x H x D: 83 cm x 108 cm x 82 cm (2 ft 8 in x 3 ft 6 in x 2 ft 8 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Magica
9,Recliner,Jordyblue Marvin Fabric Manual Recliner,4537,6482,"['Material: Fabric', 'Reclining Positions: 3', 'Filling Material: Foam', 'W x H x D: 88.9 cm x 101.6 cm x 77.47 cm (2 ft 10 in x 3 ft 4 in x 2 ft 6 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
10,Recliner,Flipkart Perfect Homes Fabric Manual Recliner,1151,1650,"['Material: Fabric', 'Reclining Positions: 5', 'Filling Material: Polyfill', 'W x H x D: 46 cm x 104 cm x 74 cm (1 ft 6 in x 3 ft 4 in x 2 ft 5 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Rusu
11,Recliner,Godrej Interio Scout Pro Leatherette Manual Recliner,1317,3300,"['Material: Leatherette', 'Reclining Positions: 2', 'Filling Material: Foam', 'W x H x D: 179 cm x 107 cm x 86 cm (5 ft 10 in x 3 ft 6 in x 2 ft 9 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
